date,hr30,hr60,price,p10,p20,phase,marker,cross,status,source,note
2011-07-18,0,0,13.63,13.97,14.48,normal,,,ok,coinmetrics,
2011-07-19,0,0,13.82,13.92,14.33,normal,,,ok,coinmetrics,
2011-07-20,0,0,13.68,13.82,14.21,normal,,,ok,coinmetrics,
2011-07-21,0,0,13.61,13.75,14.11,normal,,,ok,coinmetrics,
2011-07-22,0,0,13.7,13.72,14.03,normal,,,ok,coinmetrics,
2011-07-23,0,0,13.68,13.69,13.94,normal,,,ok,coinmetrics,
2011-07-24,0,0,13.99,13.69,13.95,normal,,,ok,coinmetrics,
2011-07-25,0,0,14.03,13.71,14,normal,,,ok,coinmetrics,
2011-07-26,0,0,13.88,13.73,13.96,normal,,,ok,coinmetrics,
2011-07-27,0,0,13.88,13.79,13.91,normal,,,ok,coinmetrics,
2011-07-28,0,0,13.49,13.78,13.87,normal,,,ok,coinmetrics,
2011-07-29,0,0,13.51,13.75,13.83,normal,,,ok,coinmetrics,
2011-07-30,0,0,13.54,13.73,13.78,normal,,,ok,coinmetrics,
2011-07-31,0,0,13.37,13.71,13.73,normal,,,ok,coinmetrics,
2011-08-01,0,0,13.02,13.64,13.68,normal,,,ok,coinmetrics,
2011-08-02,0,0,12.21,13.49,13.59,normal,,,ok,coinmetrics,
2011-08-03,0,0,9.29,13.02,13.36,normal,,,ok,coinmetrics,
2011-08-04,0,0,10.77,12.7,13.2,normal,,,ok,coinmetrics,
2011-08-05,0,0,9.73,12.28,13.01,normal,,,ok,coinmetrics,
2011-08-06,0,0,6.96,11.59,12.69,normal,,,ok,coinmetrics,
2011-08-07,0,0,8.5,11.09,12.43,normal,,,ok,coinmetrics,
2011-08-08,0,0,7.78,10.52,12.13,normal,,,ok,coinmetrics,
2011-08-09,0,0,9.8,10.14,11.94,normal,,,ok,coinmetrics,
2011-08-10,0,0,10.05,9.81,11.76,normal,,,ok,coinmetrics,
2011-08-11,0,0,9.44,9.45,11.55,normal,,,ok,coinmetrics,
2011-08-12,0,0,9.45,9.18,11.34,normal,,,ok,coinmetrics,
2011-08-13,0,0,10,9.25,11.14,normal,,,ok,coinmetrics,
2011-08-14,0,0,10.81,9.25,10.97,normal,,,ok,coinmetrics,
2011-08-15,0,0,11.13,9.39,10.84,normal,,,ok,coinmetrics,
2011-08-16,0,0,10.99,9.8,10.69,normal,,,ok,coinmetrics,
2011-08-17,0,0,10.96,10.04,10.57,normal,,,ok,coinmetrics,
2011-08-18,0,0,10.86,10.35,10.43,normal,,,ok,coinmetrics,
